100 100 38.35 100 100 23.964 30.526 20.767 670.68 4729.9 11746 622.2 692.58 204.98 3150 2520
100 100 100 100 100 23.56 30.501 29.887 792.61 5375.7 3124.2 535.5 609.9 535.5 3150 2520
99.65 100 100 100 71.773 22.013 22.036 22.051 851.65 8612.8 4234.2 533.42 526.9 535.5 3150 2280
100 100 99.75 100 99.491 22.025 22.229 22.054 847.86 6024.5 4245.6 535.5 746.71 534.01 3150 2517.6
47.7 100 61.9 59.728 78.811 20.954 22 21.238 1872.9 7177.2 7097.3 254.81 633.32 331.71 2718.3 2338.2
100 99.2 86.95 100 57.818 25.643 21.993 21.739 694.92 10595 5010.5 561.17 429.17 459.04 3150 2161.7
9.3 100 50 34.44 100 20.186 23.087 21 9853.2 5340.6 8828.7 50.278 811.05 269.68 2450.9 2520
100 59.65 100 100 34.711 30.526 21.193 29.982 611.74 18677 3114.2 535.5 252.64 535.5 3150 1957
86.95 100 100 98.984 87.296 21.739 22.023 22.035 992.44 6857.9 4217 463.5 662.1 538.08 3137.9 2409.3
100 100 76 100 100 24.986 22.852 21.52 710 6659.5 5688.1 563.7 657.09 408.47 3150 2520
97.2 100 100 100 100 21.957 29.767 22.08 872.81 4381.7 4228.7 521.82 766.7 535.51 3150 2520
0 100 100 100 99.192 20 23.371 29.654 0 7445.7 2024.6 0 574.67 832.82 3150 2512.3
100 77.2 97.75 100 43.743 22.822 21.544 21.96 815.33 14102 4324 537.42 329.15 526.58 3150 2037.2
37.85 100 100 100 100 20.757 28.77 25.125 2374.5 5258.2 3084.9 202.9 661.05 645.08 3150 2520
29.9 58.75 35.2 37.937 33.849 20.598 21.175 20.704 3044.6 18853 12865 159.46 250.5 187.72 2485.8 1952.5
100 100 63.75 99.106 71.129 22.115 22.055 21.275 746.04 9177.8 6890.3 606.11 494.04 341.08 3139.4 2273.8
100 100 99.6 100 94.871 22.588 22.257 22.027 826.73 7108.7 4257.9 535.5 632.05 533.12 3150 2473.8
49.05 71.3 48.1 53.749 40.542 20.981 21.426 20.962 1804.2 15297 9231.7 264.18 305.12 258.38 2657.4 2009.4
100 100 0 99.774 100 23.202 27.207 20 587.2 5619.2 0 733.98 654.09 0 3147.3 2520
99.85 100 100 100 70.782 22.034 22.077 22.344 848.94 9363.8 4178.8 534.61 483.74 535.5 3150 2270.5
30.75 14.4 100 100 12.289 20.615 20.288 22.893 2948.5 80584 2553.3 164.52 61.166 855.37 3150 1768.2
100 100 100 100 100 22.787 30.526 30.526 819.5 5275.1 3058.7 535.5 621.01 535.5 3150 2520
100 16.75 100 100 13.23 28.715 20.335 30.526 650.32 69805 3058.7 535.5 70.448 535.5 3150 1773.9
50.6 100 61.75 60.89 100 21.012 29.191 21.235 1758.9 4226.9 7098.3 270.58 810.44 331.71 2731.4 2520
100 100 100 100 98.87 22.217 22.629 23.091 840.55 7116.6 4043.6 535.5 620.97 535.5 3150 2509.2
100 47.6 74.95 99.423 29.428 22.045 20.952 21.499 744.6 23386 5777.9 609.2 204.08 402.52 3144 1915.3
100 59.2 100 100 34.581 30.008 21.184 22.054 622.31 18729 4233.7 535.5 252.04 535.5 3150 1957.3
60.15 100 78 74.282 100 21.203 22.245 21.56 1471.3 5511.6 5568.1 320.56 815.63 416.5 2871.4 2520
83.65 76.05 100 100 43.036 21.673 21.521 22.431 1022 14220 3943.7 451.46 326.77 565.23 3150 2033.3
96.8 100 100 100 80.261 21.941 22.1 22.33 880.96 8166.7 4177.3 517.35 554.05 536.02 3150 2350.6
100 100 0 75.102 100 22.258 30.526 20 784.67 4401.8 0 572.57 744.21 0 2881 2520
91.8 100 100 100 93.219 21.836 22.139 22.339 929.84 6999 4159.7 492.51 645.35 538.09 3150 2457.8
57.4 100 73.1 69.802 100 21.148 22.206 21.462 1536.4 5551.9 5946 307.76 811.12 391.81 2826.6 2520
59 100 100 100 100 21.18 22.534 22.372 1512.2 6354.8 3804.9 312.23 698.34 587.39 3150 2520
81.5 100 100 100 100 21.63 27.202 22.678 1048.2 5108.8 4043.2 441.04 719.58 545.31 3150 2520
30.1 100 100 90.469 74.101 20.602 22.081 22.081 3027 8896 3494.7 160.35 509.08 647.95 3045.5 2299.5
100 100 100 100 68.669 29.563 22.105 22.05 631.67 9974.3 4234.5 535.5 453.55 535.5 3150 2251.4
100 100 96.8 100 100 24.147 30.146 21.938 773.28 4756.9 4413.1 535.55 697.34 516.46 3150 2520
72.1 100 100 100 100 21.442 30.526 30.198 1210.1 4770.9 2907.9 385.41 686.64 569.39 3150 2520
49.45 100 60.8 60.174 99.887 20.989 22.049 21.216 1785.4 5590.6 7178.7 266.86 811.23 328.29 2728.1 2518.9
38.85 99.55 71.55 60.393 57.641 20.777 21.991 21.431 2286.7 10022 6095.8 210.48 453.75 382.73 2726.6 2159.4
100 29.25 100 100 19.689 25.857 20.585 30.526 722.21 39519 3058.7 535.5 122.93 535.5 3150 1829.4
100 100 100 100 100 22.711 30.526 30.526 822.24 5308 3058.7 535.5 617.16 535.5 3150 2520
100 100 100 100 100 23.059 30.526 29.917 809.85 5163.7 3121 535.5 634.41 535.5 3150 2520
99.95 98.45 75.85 97.328 55.338 22.008 21.97 21.517 789.47 10636 5693.1 575.55 427.96 408.17 3120.3 2138.1
60.75 100 58.85 65.193 100 21.215 22.087 21.177 1457.6 5561.3 7504.8 323.38 814.13 314.61 2774.5 2520
39.05 76.15 63 56.393 43.081 20.781 21.523 21.26 2283 14270 7023.8 210.78 325.58 334.84 2682 2031
80.25 100 100 100 100 21.605 30.526 22.727 1076.7 4508.9 4028.5 429.89 726.53 546.12 3150 2520
100 100 100 100 74.306 22.406 22.191 26.982 833.44 9584.1 3460.5 535.5 470.2 535.5 3150 2303.9
50.65 100 61.4 60.566 100 21.013 22.983 21.228 1772.5 5347.3 7129.4 268.49 813.68 330.37 2726.4 2520
79.2 100 62.8 76.285 93.357 21.584 22.001 21.256 1093.2 6017.8 6975.6 423.79 755.31 337.22 2897.9 2462.6
80.25 100 99.9 99.026 84.841 21.605 22.025 22.029 1077.4 7037 4178.6 429.59 645.19 543.19 3138.4 2387.8
100 74.05 61.75 96.912 42.494 22.005 21.481 21.235 696.49 14723 7136.7 652.48 316.18 329.93 3116.1 2026.1
100 100 100 100 100 22.035 30.526 22.044 847.49 4256.5 4235.6 535.5 769.61 535.5 3150 2520
37.3 100 100 100 100 20.746 25.208 24.874 2388 6097.2 3081.8 201.85 650.61 652.27 3150 2520
100 60.3 100 100 35.637 22.195 21.206 29.939 841.37 18128 3118.7 535.5 260.13 535.5 3150 1970.3
100 58.5 100 100 34.093 30.526 21.17 29.262 611.74 18697 3190.8 535.5 252.64 535.5 3150 1957.8
100 100 100 100 100 22.386 23.383 24.607 834.17 6908.6 3794.4 535.5 619.03 535.5 3150 2520
